segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
stream,538,478.0,478.045,463.045,493.045
stream,539,477.0,478.045,463.045,493.045
stream,540,478.0,478.045,463.045,493.045
stream,541,477.0,478.045,463.045,493.045
stream,542,478.0,478.045,463.045,493.045
stream,543,478.0,478.045,463.045,493.045
stream,544,478.0,478.045,463.045,493.045
stream,545,478.0,478.045,463.045,493.045
stream,546,478.0,478.045,463.045,493.045
stream,547,479.0,478.045,463.045,493.045
stream,548,479.0,478.045,463.045,493.045
stream,549,479.0,478.045,463.045,493.045
stream,550,478.0,478.045,463.045,493.045
stream,551,478.0,478.045,463.045,493.045
stream,552,478.0,478.045,463.045,493.045
stream,553,477.0,478.045,463.045,493.045
stream,554,478.0,478.045,463.045,493.045
stream,555,477.0,478.045,463.045,493.045
stream,556,478.0,478.045,463.045,493.045
stream,557,477.0,478.045,463.045,493.045
stream,558,477.0,478.045,463.045,493.045
stream,559,478.0,478.045,463.045,493.045
stream,560,477.0,478.045,463.045,493.045
stream,561,478.0,478.045,463.045,493.045
stream,562,477.0,478.045,463.045,493.045
stream,563,478.0,478.045,463.045,493.045
stream,564,478.0,478.045,463.045,493.045
stream,565,478.0,478.045,463.045,493.045
stream,566,478.0,478.045,463.045,493.045
stream,567,479.0,478.045,463.045,493.045
stream,568,478.0,478.045,463.045,493.045
stream,569,478.0,478.045,463.045,493.045
stream,570,479.0,478.045,463.045,493.045
stream,571,478.0,478.045,463.045,493.045
stream,572,478.0,478.045,463.045,493.045
stream,573,479.0,478.045,463.045,493.045
stream,574,478.0,478.045,463.045,493.045
stream,575,479.0,478.045,463.045,493.045
stream,576,478.0,478.045,463.045,493.045
stream,577,479.0,478.045,463.045,493.045
stream,578,478.0,478.045,463.045,493.045
stream,579,479.0,478.045,463.045,493.045
stream,580,478.0,478.045,463.045,493.045
stream,581,478.0,478.045,463.045,493.045
stream,582,478.0,478.045,463.045,493.045
stream,583,478.0,478.045,463.045,493.045
stream,584,479.0,478.045,463.045,493.045
stream,585,478.0,478.045,463.045,493.045
stream,586,478.0,478.045,463.045,493.045
stream,587,478.0,478.045,463.045,493.045
stream,588,478.0,478.045,463.045,493.045
stream,589,478.0,478.045,463.045,493.045
stream,590,477.0,478.045,463.045,493.045
stream,591,478.0,478.045,463.045,493.045
stream,592,477.0,478.045,463.045,493.045
stream,593,477.0,478.045,463.045,493.045
stream,594,478.0,478.045,463.045,493.045
stream,595,477.0,478.045,463.045,493.045
stream,596,477.0,478.045,463.045,493.045
stream,597,477.0,478.045,463.045,493.045
stream,598,477.0,478.045,463.045,493.045
stream,599,477.0,478.045,463.045,493.045
stream,600,477.0,478.045,463.045,493.045
